Data,Rede Publica,Adulto (total),Geral,Gestante,Oncologico,Cardiaco,Infatil,Rede Privada,Total
21-01-06,0.99,1.0,1.02,0.89,0.2,1.0,0.65,0.95,0.97
21-01-08,0.9,0.91,0.93,0.78,0.2,1.0,0.56,0.94,0.92
21-01-10,0.89,0.89,0.9,0.95,0.4,0.38,0.8,0.85,0.87
21-01-12,0.96,0.96,0.98,0.83,0.6,0.38,1.0,0.9,0.93
21-01-14,1.03,1.04,1.11,0.61,0.7,0.38,0.83,0.81,0.93
21-01-16,1.11,1.13,1.26,0.51,0.6,0.08,0.84,0.86,1.01
21-01-18,1.06,1.1,1.19,0.72,0.4,0.04,0.9,0.75,0.93
21-01-20,1.07,1.11,1.2,0.62,1.0,0.16,0.73,0.85,0.98
21-01-22,1.04,1.12,1.2,0.7,1.0,0.24,0.69,0.82,0.95
21-01-24,1.01,1.1,1.18,0.58,1.0,0.24,0.62,0.81,0.93
21-01-26,0.91,0.97,1.02,0.63,1.0,0.2,0.61,0.92,0.91
21-01-27,0.92,1.0,1.07,0.56,1.0,0.12,0.32,0.93,0.92
21-01-29,0.96,0.91,1.0,0.51,0.9,0.15,0.4,0.91,0.94
21-01-31,0.96,0.94,1.02,0.51,0.7,0.17,0.54,0.88,0.93
21-02-01,0.96,0.95,1.02,0.56,0.7,0.17,0.44,0.75,0.88
21-02-02,0.92,0.92,0.99,0.61,1.0,0.12,0.4,0.74,0.85
21-02-06,0.86,0.87,0.94,0.49,0.6,0.15,0.21,0.81,0.85
21-02-07,0.86,0.9,0.97,0.47,0.8,0.15,0.24,0.8,0.84
21-02-08,0.82,0.86,0.94,0.41,0.8,0.03,0.38,0.76,0.8
21-02-10,0.76,0.83,0.93,0.31,0.7,0.03,0.17,0.72,0.75
21-02-11,0.76,0.85,0.95,0.31,0.7,0.03,0.26,0.7,0.74
21-02-12,0.77,0.82,0.91,0.36,0.4,0.03,0.43,0.73,0.76
21-02-14,0.78,0.85,0.93,0.42,0.7,0.06,0.35,0.73,0.77
21-02-15,0.74,0.81,0.9,0.38,0.4,0.0,0.31,0.75,0.74
21-02-16,0.71,0.82,0.87,0.39,0.7,0.0,0.18,0.75,0.72
21-02-18,0.72,0.79,0.89,0.33,0.3,0.03,0.28,0.71,0.72
21-02-20,0.68,0.76,0.83,0.27,0.3,0.08,0.36,0.61,0.67
21-02-22,0.71,0.81,0.9,0.22,0.4,0.11,0.31,0.63,0.69
21-02-24,0.7,0.78,0.84,0.26,0.5,0.07,0.27,0.65,0.69
21-02-28,0.62,0.72,0.8,0.23,0.3,0.28,0.06,0.63,0.62
21-03-02,0.58,0.67,0.75,0.19,0.2,0.23,0.09,0.5,0.56
21-03-04,0.55,0.64,0.7,0.23,0.1,0.29,0.16,0.62,0.56
21-03-07,0.5,0.57,0.61,0.1,0.2,0.85,0.47,0.7,0.53
21-03-09,0.48,0.54,0.58,0.25,0.2,0.1,0.37,0.59,0.5
21-03-11,0.53,0.55,0.57,0.28,0.2,0.83,0.35,0.62,0.55
21-03-13,0.49,0.5,0.52,0.26,0.2,0.79,0.05,0.65,0.51
21-03-15,0.51,0.52,0.53,0.37,0.3,0.76,0.15,0.59,0.52
21-03-17,0.52,0.54,0.55,0.34,0.3,0.79,0.25,0.68,0.55
21-03-19,0.49,0.51,0.52,0.32,0.2,0.73,0.25,0.58,0.51
21-03-21,0.53,0.55,0.57,0.31,0.2,0.77,0.3,0.61,0.55
21-03-23,0.58,0.6,0.64,0.29,0.2,0.6,0.3,0.58,0.58
21-03-24,0.55,0.57,0.61,0.22,0.5,0.5,0.3,0.61,0.56
21-03-26,0.59,0.6,0.63,0.23,0.6,0.76,0.35,0.56,0.58
21-03-28,0.58,0.59,0.62,0.31,0.3,0.83,0.5,0.57,0.58
21-03-30,0.56,0.58,0.62,0.25,0.0,0.72,0.4,0.65,0.58
21-04-01,0.57,0.58,0.59,0.42,0.3,0.83,0.29,0.68,0.59
21-04-03,0.57,0.58,0.58,0.44,0.0,0.9,0.25,0.61,0.57
21-04-05,0.53,0.54,0.55,0.48,0.0,0.7,0.26,0.58,0.54
21-04-05,0.53,0.54,0.55,0.48,0.0,0.7,0.26,0.58,0.54
21-04-07,0.47,0.48,0.47,0.44,0.3,0.83,0.2,0.52,0.48
21-04-09,0.45,0.46,0.45,0.44,0.3,0.8,0.27,0.53,0.46
21-04-11,0.41,0.43,0.43,0.28,0.0,0.86,0.16,0.49,0.43
