Data,Rede Publica,Adulto (total),Geral,Gestante,Oncologico,Cardiaco,Infantil,Rede Privada,Total
21-01-06,"93,02%","100,00%",nan,nan,nan,nan,"0,00%","100,00%","95,38%"
21-01-08,"84,21%","85,14%","85,14%",nan,nan,nan,"50,00%","77,08%","81,45%"
21-01-10,"80,00%","82,76%","82,76%",nan,nan,nan,"0,00%","83,33%","80,95%"
21-01-12,"85,00%","87,93%","87,93%",nan,nan,nan,"0,00%","75,00%","82,14%"
21-01-14,"83,33%","86,21%","94,34%",nan,nan,nan,"0,00%","77,78%","82,05%"
21-01-16,"73,97%","76,06%","94,74%",nan,nan,nan,"0,00%","66,67%","72,53%"
21-01-18,"88,33%","91,07%","118,60%",nan,nan,nan,"66,67%","44,44%","78,21%"
21-01-20,"89,04%","90,14%","108,47%",nan,nan,nan,"100,00%","61,11%","83,52%"
21-01-22,"83,12%","84,00%","93,55%","16,67%",nan,nan,"100,00%","83,33%","83,16%"
21-01-24,"78,08%","80,00%","84,75%","0,00%",nan,nan,"50,00%","94,44%","81,32%"
21-01-26,"82,35%","83,58%","90,20%","0,00%",nan,nan,"0,00%","66,67%","79,07%"
21-01-27,"86,89%","88,14%","95,65%","16,67%",nan,nan,"100,00%","50,00%","78,48%"
21-01-29,"107,61%","81,54%","86,27%","16,67%","100,00%","0,00%","50,00%","83,33%","103,64%"
21-01-31,"107,45%","80,88%","88,46%","16,67%","80,00%","0,00%","0,00%","56,52%","97,44%"
21-02-01,"112,94%","84,75%","90,70%","16,67%","100,00%","0,00%","0,00%","47,83%","99,07%"
21-02-02,"107,53%","85,07%","88,89%","20,00%","100,00%","0,00%","0,00%","69,23%","99,16%"
21-02-06,"96,55%","78,69%","87,23%","33,33%","62,50%","0,00%","0,00%","16,00%","78,57%"
21-02-07,"87,06%","71,19%","91,30%","0,00%","0,00%","0,00%","0,00%","15,38%","70,27%"
21-02-08,"86,46%","65,22%","78,57%","20,00%","0,00%","0,00%","50,00%","28,57%","76,07%"
21-02-10,"87,78%","68,75%","84,00%","0,00%","25,00%","0,00%","0,00%","29,41%","78,50%"
21-02-11,"88,04%","74,24%","90,38%","0,00%","25,00%","0,00%","0,00%","28,57%","76,99%"
21-02-12,"88,31%","78,43%","90,00%","66,67%","25,00%","0,00%","0,00%","19,05%","73,47%"
21-02-14,"76,24%","77,42%","84,31%","0,00%","62,50%","0,00%","0,00%","17,39%","65,32%"
21-02-15,"77,23%","75,41%","88,00%","0,00%","25,00%","0,00%","50,00%","19,05%","67,21%"
21-02-16,"73,79%","69,23%","83,33%","0,00%","0,00%","0,00%","0,00%","57,14%","72,73%"
21-02-18,"73,47%","75,81%","88,24%","0,00%","25,00%","0,00%","50,00%","57,14%","72,38%"
21-02-20,"63,16%","64,71%","82,50%","0,00%","0,00%","0,00%","0,00%","57,14%","62,75%"
21-02-22,"64,56%","67,35%","81,58%","0,00%","25,00%","0,00%","0,00%","57,14%","63,95%"
21-02-24,"45,45%","54,24%","62,00%","0,00%","16,67%","0,00%","0,00%","80,00%","47,31%"
21-02-28,"53,49%","60,56%","68,33%","0,00%","25,00%","0,00%","0,00%","33,33%","51,58%"
21-03-02,"38,16%","49,15%","48,15%","33,33%","100,00%","0,00%","0,00%","50,00%","39,29%"
21-03-04,"53,75%","67,74%","67,92%","75,00%","60,00%","0,00%","0,00%","80,00%","55,29%"
21-03-07,"50,00%","58,93%","62,26%","0,00%","0,00%","0,00%","0,00%","42,86%","49,33%"
21-03-09,"45,21%","56,14%","58,49%","25,00%","0,00%","0,00%","0,00%","60,00%","46,15%"
21-03-11,"49,30%","50,72%","58,33%","0,00%","0,00%","0,00%","0,00%","60,00%","50,00%"
21-03-13,"45,71%","47,06%","54,24%","0,00%","0,00%","0,00%","0,00%","60,00%","46,67%"
