Data,Rede Publica,Adulto (total),Geral,Gestante,Oncologico,Cardiaco,Infantil,Rede Privada,Total
21-01-06,"93,02%","100,00%",nan,nan,nan,nan,"50,00%",nan,"93,02%"
21-01-08,"88,14%","88,24%","88,24%",nan,nan,nan,"87,50%",nan,"88,14%"
21-01-10,"83,05%","90,20%","90,20%",nan,nan,nan,"37,50%",nan,"78,79%"
21-01-12,"76,19%","85,45%","92,16%",nan,nan,nan,"12,50%",nan,"76,19%"
21-01-14,"77,78%","83,64%","90,20%",nan,nan,nan,"37,50%",nan,"79,71%"
21-01-16,"74,60%","83,64%","93,88%",nan,nan,nan,"12,50%",nan,"71,79%"
21-01-18,"65,67%","86,00%","97,73%","25,00%",nan,nan,"14,29%","53,85%","63,75%"
21-01-20,"83,10%","91,94%","100,00%","25,00%",nan,nan,"25,00%","33,33%","77,50%"
21-01-22,"87,50%","92,31%","100,00%","25,00%",nan,nan,"50,00%","33,33%","79,76%"
21-01-24,"84,51%","88,89%","96,49%","25,00%",nan,nan,"57,14%","25,00%","75,90%"
21-01-26,"83,16%","90,80%","97,53%","0,00%",nan,nan,"0,00%","25,00%","78,64%"
21-01-27,"86,29%","91,30%","95,41%","25,00%",nan,nan,"25,00%","37,50%","83,33%"
21-01-29,"76,15%","92,52%","98,02%","0,00%","0,00%","0,00%","0,00%","33,33%","72,54%"
21-01-31,"74,29%","92,68%","98,68%","25,00%","0,00%","0,00%","25,00%","36,36%","70,69%"
21-02-01,"77,78%","91,96%","97,17%","0,00%","0,00%","0,00%","25,00%","27,27%","73,97%"
21-02-02,"78,40%","89,93%","92,48%","50,00%","0,00%","0,00%","25,00%","44,44%","76,61%"
21-02-06,"75,00%","90,41%","97,01%","25,00%","0,00%","0,00%","12,50%","18,18%","69,16%"
21-02-07,"63,41%","86,44%","96,23%","0,00%","0,00%","0,00%","12,50%","18,18%","58,06%"
21-02-08,"81,10%","92,96%","97,06%","0,00%","0,00%","0,00%","14,29%","18,18%","77,14%"
21-02-10,"70,53%","91,67%","96,97%","50,00%","0,00%","0,00%","12,50%","62,50%","69,90%"
21-02-11,"71,00%","92,21%","97,18%","50,00%","0,00%","0,00%","0,00%","36,36%","67,57%"
21-02-12,"77,87%","94,95%","97,89%","50,00%","0,00%","0,00%","12,50%","0,00%","71,43%"
21-02-14,"84,85%","92,94%","97,53%","0,00%","0,00%","0,00%","50,00%","18,18%","78,18%"
21-02-15,"83,33%","93,48%","97,73%","0,00%","0,00%","0,00%","50,00%","9,09%","76,47%"
21-02-16,"84,68%","93,75%","97,83%","0,00%","0,00%","0,00%","37,50%","25,00%","80,67%"
21-02-18,"78,57%","96,08%","97,96%","100,00%","0,00%","0,00%","12,50%","11,11%","74,07%"
21-02-20,"85,22%","95,05%","97,94%","50,00%","0,00%","0,00%","0,00%","11,11%","79,84%"
21-02-22,"80,93%","85,35%","87,11%","0,00%","0,00%","0,00%","12,50%","22,22%","78,57%"
21-02-24,"71,91%","92,54%","96,83%","50,00%","0,00%","0,00%","12,50%","16,67%","68,42%"
21-02-28,"81,60%","96,12%","97,98%","100,00%","0,00%","0,00%","12,50%","11,11%","76,87%"
21-03-02,"80,00%","93,90%","97,44%","50,00%","0,00%","0,00%","0,00%","22,22%","75,44%"
21-03-04,"81,82%","94,90%","97,87%","50,00%","0,00%","0,00%","25,00%","0,00%","76,74%"
21-03-07,"88,08%","96,32%","98,74%","0,00%","0,00%","0,00%","25,00%","12,50%","85,07%"
21-03-09,"77,06%","91,57%","97,33%","50,00%","0,00%","0,00%","12,50%","0,00%","71,79%"
21-03-11,"68,75%","74,71%","77,11%","50,00%","0,00%","0,00%","12,50%","0,00%","63,46%"
21-03-13,"92,73%","96,79%","98,68%","50,00%","0,00%","0,00%","25,00%","31,25%","87,29%"
